x,y,z,intensity,r,g,b
-14.507,-98.722,-1.187,-1691,59,67,69
-14.507,-98.723,-1.162,-1519,59,58,64
-14.529,-98.727,-1.145,-1475,67,64,71
-14.507,-98.723,-1.15,-1548,73,70,77
-14.645,-98.692,-1.08,-1568,53,54,59
-14.644,-98.689,-1.068,-1545,46,45,51
-14.645,-98.693,-1.042,-1675,45,42,51
-14.644,-98.687,-1.029,-1534,44,43,51
-14.623,-98.686,-1.124,-1563,74,84,86
-14.566,-98.713,-1.123,-1522,78,79,84
-14.604,-98.692,-1.106,-1562,52,55,60
-14.547,-98.718,-1.107,-1570,82,85,90
-14.528,-98.72,-1.12,-1534,77,76,82
-14.507,-98.721,-1.125,-1537,66,63,70
-14.509,-98.731,-1.063,-1640,73,81,84
-14.604,-98.696,-1.049,-1637,51,52,57
-14.624,-98.693,-1.023,-1519,47,47,55
-14.605,-98.697,-1.026,-1645,55,58,65
-14.586,-98.707,-1.0,-1627,63,67,76
-14.506,-98.711,-1.026,-1735,59,66,72
-14.508,-98.726,-1.001,-1558,45,48,55
-14.45,-98.747,-1.345,-1676,48,47,53
-14.47,-98.742,-1.107,-1535,67,68,73
-14.49,-98.738,-1.218,-1552,101,117,116
-14.491,-98.742,-1.206,-1578,75,91,90
-14.471,-98.75,-1.206,-1570,78,90,90
-14.49,-98.739,-1.168,-1568,54,53,59
-14.49,-98.736,-1.143,-1550,69,66,73
-14.488,-98.727,-1.068,-1632,81,86,90
-14.489,-98.734,-1.043,-1709,67,74,80
-14.47,-98.744,-1.007,-1545,54,57,64
-14.282,-98.007,-1.316,-1329,49,44,50
-14.264,-98.02,-1.111,-1576,62,62,64
-14.262,-98.005,-1.25,-1688,69,65,66
-14.302,-98.001,-1.234,-1591,46,43,50
-14.262,-98.008,-1.199,-1619,55,54,52
-14.282,-98.001,-1.18,-1365,57,57,59
-14.282,-98.001,-1.155,-1165,65,66,68
-14.302,-98.005,-1.134,-1668,63,64,68
-14.35,-98.193,-1.093,-1678,67,66,72
-14.263,-98.011,-1.098,-1629,71,69,74
-14.282,-98.001,-1.092,-1624,72,69,76
-14.262,-98.005,-1.036,-1625,75,75,83
-14.283,-98.01,-1.055,-1639,72,71,77
-14.283,-98.012,-1.018,-1525,74,77,84
-15.008,-98.562,-0.869,-1511,54,69,74
-15.086,-98.542,-0.841,-1547,45,42,51
-15.067,-98.55,-0.838,-1555,54,51,62
-15.048,-98.556,-0.944,-1457,53,49,63
-15.009,-98.567,-0.942,-1476,36,34,47
-15.086,-98.544,-0.94,-1476,89,79,90
-15.065,-98.539,-0.942,-1463,95,87,100
-15.009,-98.565,-0.918,-1475,49,38,54
-15.085,-98.537,-0.928,-1509,89,79,90
-15.066,-98.541,-0.919,-1458,122,120,131
-15.066,-98.541,-0.908,-1539,151,162,168
-15.028,-98.558,-0.925,-1466,67,59,74
-15.047,-98.551,-0.908,-1527,93,95,107
-15.046,-98.546,-0.883,-1522,89,108,114
-15.028,-98.562,-0.9,-1507,84,84,96
-15.027,-98.556,-0.877,-1504,52,69,76
-15.008,-98.562,-0.882,-1524,54,69,74
-15.028,-98.563,-0.866,-1529,58,62,71
-15.049,-98.563,-0.821,-1571,55,60,64
-15.009,-98.569,-0.782,-1524,38,43,47
-15.009,-98.564,-0.757,-1475,28,36,38
-15.085,-98.536,-0.804,-1527,47,51,52
-15.066,-98.544,-0.803,-1512,57,62,65
-15.085,-98.534,-0.779,-1655,64,68,69
-15.027,-98.555,-0.782,-1547,43,48,51
-15.045,-98.541,-0.76,-1588,46,50,51
-15.028,-98.558,-0.758,-1460,28,36,38
-15.028,-98.559,-0.722,-1481,40,38,43
-15.046,-98.548,-0.747,-1478,58,59,63
-15.029,-98.564,-0.747,-1444,34,35,39
-15.009,-98.567,-0.745,-1463,29,28,33
-15.009,-98.568,-0.72,-1537,33,28,34
-15.009,-98.565,-0.708,-1507,40,33,40
-15.085,-98.536,-0.741,-1501,48,52,55
-15.066,-98.54,-0.744,-1494,53,57,60
-15.085,-98.534,-0.728,-1504,44,49,53
-15.066,-98.541,-0.721,-1480,52,53,58
-15.087,-98.544,-0.703,-1506,37,36,41
-15.065,-98.539,-0.697,-1514,39,37,42
-15.048,-98.556,-0.723,-1522,55,54,60
-15.046,-98.547,-0.699,-1511,39,37,42
-15.028,-98.56,-0.699,-1501,53,48,54
-15.029,-98.563,-0.687,-1471,50,49,54
-15.086,-98.54,-0.679,-1468,33,34,36
-15.066,-98.543,-0.686,-1517,33,34,38
-15.067,-98.549,-0.663,-1419,30,31,33
-15.086,-98.538,-0.666,-1501,30,31,33
-15.008,-98.561,-0.683,-1463,51,50,55
-15.046,-98.543,-0.686,-1504,36,37,41
-15.047,-98.553,-0.661,-1445,35,35,37
-15.028,-98.557,-0.663,-1488,45,44,49
-14.931,-98.586,-0.865,-1609,52,66,66
-14.892,-98.588,-0.826,-1734,40,43,58
-14.949,-98.571,-0.868,-1616,75,87,87
-14.932,-98.59,-0.94,-1560,83,74,75
-14.989,-98.567,-1.0,-1620,55,55,63
-14.989,-98.567,-0.938,-1514,52,42,53
-14.97,-98.577,-0.939,-1539,44,34,42
-14.95,-98.577,-0.944,-1519,47,40,47
-14.875,-98.614,-0.941,-1471,113,94,113
-14.97,-98.576,-0.926,-1498,54,38,48
-14.99,-98.575,-0.888,-1534,69,76,82
-14.971,-98.581,-0.888,-1719,69,74,77
-14.914,-98.603,-0.882,-1589,83,103,94
-14.855,-98.616,-0.939,-1522,106,86,98
-14.874,-98.608,-0.928,-1555,113,94,113
-14.855,-98.619,-0.926,-1570,114,90,106
-14.874,-98.607,-0.879,-1591,131,158,149
-14.952,-98.593,-0.844,-1568,64,76,76
-14.948,-98.565,-0.818,-1642,53,63,65
-14.971,-98.581,-0.839,-1594,70,80,82
-14.99,-98.575,-0.825,-1661,84,94,96
-14.97,-98.575,-0.826,-1535,72,83,85
-14.969,-98.569,-0.801,-1661,50,51,56
-14.989,-98.567,-0.763,-1507,26,34,36
-14.971,-98.577,-0.763,-1665,29,34,38
-14.888,-98.564,-0.763,-1652,60,60,52
-14.873,-98.602,-0.867,-1570,59,79,70
-14.835,-98.615,-0.828,-1584,135,123,123
-14.855,-98.614,-0.825,-1565,62,58,57
-14.835,-98.617,-0.805,-1602,86,87,81
-14.874,-98.608,-0.804,-1516,52,46,56
-14.853,-98.602,-0.8,-1619,59,55,56
-14.856,-98.622,-0.787,-1678,54,53,51
-14.874,-98.604,-0.778,-1624,73,62,66
-14.874,-98.603,-0.767,-1722,73,62,66
-14.509,-98.734,-0.989,-1696,45,48,55
-14.969,-98.565,-0.739,-1494,32,31,36
-14.951,-98.581,-0.719,-1560,43,37,41
-14.991,-98.578,-0.738,-1465,34,33,38
-14.99,-98.572,-0.725,-1516,35,30,34
-14.97,-98.576,-0.727,-1516,34,29,33
-14.99,-98.569,-0.701,-1485,41,36,42
-14.971,-98.58,-0.702,-1507,42,37,41
-14.99,-98.569,-0.689,-1483,43,44,48
-14.951,-98.585,-0.707,-1524,43,37,41
-14.989,-98.568,-0.663,-1491,48,49,53
-14.913,-98.593,-0.681,-1527,57,58,62
-14.914,-98.6,-0.669,-1447,40,41,45
-14.929,-98.571,-0.663,-1507,60,64,67
-14.855,-98.615,-0.724,-1525,68,71,78
-14.873,-98.597,-0.704,-1614,44,42,47
-14.855,-98.617,-0.698,-1581,52,51,56
-14.854,-98.61,-0.685,-1519,44,45,49
-14.349,-98.188,-0.983,-1665,56,66,68
-14.025,-97.198,-1.244,-1570,97,96,101
-14.025,-97.193,-1.182,-1660,114,128,129
-14.26,-96.502,-0.849,-1678,46,52,64
-14.3,-96.502,-0.841,-1645,60,73,82
-14.324,-96.531,-0.82,-1532,25,30,36
-14.308,-96.56,-0.803,-1647,33,34,39
-14.253,-96.587,-0.785,-1693,63,62,70
-14.289,-96.563,-0.801,-1657,48,51,56
-14.256,-96.607,-0.761,-1583,20,30,29
-14.197,-96.607,-0.773,-1634,38,35,44
-14.278,-96.623,-0.731,-1571,32,40,43
-14.26,-96.636,-0.726,-1663,28,33,37
-14.32,-96.637,-0.705,-1645,49,50,54
-14.279,-96.63,-0.708,-1619,31,34,41
-14.299,-96.628,-0.711,-1671,43,48,54
-14.28,-96.637,-0.685,-1640,39,37,42
-14.285,-96.668,-0.673,-1665,48,48,50
-14.296,-96.612,-0.744,-1547,42,53,49
-14.187,-96.669,-0.704,-1534,42,36,38
-14.221,-96.634,-0.745,-1663,28,34,34
-14.242,-96.647,-0.723,-1576,23,28,32
-14.206,-96.67,-0.689,-1666,39,35,36
-14.245,-96.663,-0.686,-1666,36,34,37
-14.227,-96.674,-0.685,-1620,31,26,30
-14.286,-96.407,-0.888,-1645,158,165,173
-14.272,-96.446,-0.878,-1648,127,147,145
-14.164,-96.387,-0.905,-1629,62,46,56
-13.995,-96.988,-1.118,-1455,58,63,67
-13.978,-97.009,-1.3,-1566,61,62,66
-13.978,-97.004,-1.09,-1673,68,69,74
-13.978,-97.006,-1.164,-1652,113,129,129
-13.976,-96.995,-1.003,-1566,85,90,94
-13.977,-97.001,-0.991,-1552,78,86,89
-15.759,-95.272,-1.027,-1653,255,251,246
-20.311,-95.511,-1.081,-1322,20,21,25
-24.015,-88.026,-1.078,-1018,179,227,241
-24.05,-88.003,-1.084,-1116,208,238,249
-24.037,-88.014,-1.08,-654,203,237,249
-24.036,-88.012,-1.068,-1111,170,212,228
-24.012,-88.015,-1.032,-1186,69,93,103
-24.0,-88.03,-1.03,-1173,43,62,66
-24.015,-88.025,-0.846,-1272,49,54,58
-24.052,-88.01,-0.869,-1290,50,44,48
-24.0,-88.029,-0.843,-1201,43,50,56
-24.013,-88.02,-0.985,-1208,46,52,52
-24.0,-88.029,-0.972,-1209,58,53,59
-24.051,-88.004,-0.993,-1273,51,61,60
-24.036,-88.01,-0.988,-1139,43,52,51
-24.051,-88.005,-0.971,-1270,52,57,60
-24.037,-88.015,-0.976,-1121,43,52,51
-24.014,-88.021,-0.974,-1162,53,51,56
-24.051,-88.004,-0.96,-1291,51,56,60
-24.038,-88.017,-0.941,-1195,52,52,60
-24.037,-88.013,-0.952,-1155,54,53,59
-24.013,-88.02,-0.951,-1188,56,51,58
-24.012,-88.016,-0.939,-1098,54,53,61
-24.0,-88.03,-0.937,-1131,50,50,58
-24.051,-88.006,-0.914,-1308,48,51,58
-24.037,-88.013,-0.918,-1157,47,50,55
-24.012,-88.015,-0.915,-1142,44,55,57
-24.0,-88.029,-0.913,-1149,38,54,54
-24.001,-88.032,-0.902,-1211,45,61,60
-24.05,-88.001,-0.903,-1272,49,48,54
-24.038,-88.018,-0.896,-1118,49,48,54
-24.038,-88.016,-0.884,-1160,53,43,51
-24.014,-88.023,-0.904,-1147,44,54,56
-24.016,-88.028,-0.823,-1213,34,53,51
-24.068,-88.0,-0.863,-1324,44,45,50
-24.051,-88.004,-0.813,-1349,58,57,62
-24.002,-88.035,-0.832,-1206,46,57,59
-24.038,-88.017,-0.804,-1219,41,55,56
-24.019,-88.041,-0.812,-1286,33,49,46
-24.002,-88.035,-0.809,-1244,43,47,46
-24.051,-88.006,-0.79,-1303,52,57,63
-24.039,-88.019,-0.792,-1165,41,52,56
-24.013,-88.017,-0.754,-1154,77,63,78
-24.05,-88.001,-0.606,-1301,49,52,61
-24.001,-88.031,-0.75,-1144,91,76,83
-24.069,-88.002,-0.736,-1286,171,186,191
-24.069,-88.005,-0.701,-1286,46,64,68
-24.015,-88.026,-0.731,-1214,86,74,88
-24.036,-88.011,-0.734,-1206,95,98,113
-24.037,-88.014,-0.722,-1208,78,95,103
-24.015,-88.026,-0.72,-1185,69,66,77
-24.053,-88.012,-0.697,-1290,44,62,64
-24.037,-88.012,-0.698,-1163,40,54,55
-24.013,-88.019,-0.696,-1175,51,54,59
-24.009,-88.003,-0.662,-1240,45,45,43
-24.003,-88.038,-0.658,-1180,53,51,54
-24.051,-88.004,-0.686,-1288,36,46,45
-24.038,-88.017,-0.675,-1137,44,46,41
-24.05,-88.003,-0.664,-1314,51,56,52
-24.017,-88.031,-0.639,-1145,39,48,43
-24.0,-88.029,-0.646,-1222,43,48,44
-24.013,-88.018,-0.627,-1136,38,49,45
-24.05,-88.003,-0.595,-1285,49,52,61
-24.068,-88.001,-0.574,-1291,51,47,62
-24.038,-88.015,-0.607,-1185,44,49,55
-24.037,-88.013,-0.595,-1085,44,49,55
-24.05,-88.001,-0.571,-1301,48,50,62
-24.037,-88.012,-0.571,-1149,47,51,62
-24.011,-88.01,-0.593,-1342,44,44,52
-24.013,-88.018,-0.57,-1139,47,45,56
-24.014,-88.023,-0.558,-1160,50,48,59
-24.039,-88.02,-0.548,-1178,49,49,59
-24.038,-88.018,-0.537,-1158,50,49,57
-24.015,-88.026,-0.535,-1175,45,48,53
-24.001,-88.033,-0.519,-1234,46,50,51
-24.017,-88.034,-0.512,-1208,50,56,56
-24.05,-88.001,-0.514,-1290,46,43,52
-24.037,-88.014,-0.514,-1150,45,44,50
-24.037,-88.012,-0.502,-1122,42,39,46
-24.01,-88.007,-0.5,-1290,50,56,56
-24.01,-88.008,-0.373,-1188,40,54,63
-24.012,-88.016,-0.349,-1157,43,52,59
-24.035,-88.005,-0.478,-1294,54,49,56
-24.015,-88.024,-0.465,-1190,54,54,56
-24.012,-88.014,-0.407,-1116,109,116,109
-24.037,-88.013,-0.408,-1075,113,119,115
-24.052,-88.007,-0.387,-1285,72,91,105
-24.036,-88.01,-0.385,-1096,58,80,91
-24.015,-88.026,-0.384,-1175,86,109,117
-24.0,-88.028,-0.39,-1196,105,114,123
-24.038,-88.017,-0.373,-1081,61,70,85
-24.037,-88.011,-0.35,-1121,45,49,60
-24.001,-88.032,-0.366,-1208,53,61,72
-24.036,-88.01,-0.338,-1029,42,43,48
-24.037,-88.012,-0.315,-941,36,40,49
-24.013,-88.019,-0.337,-1137,47,53,53
-24.01,-88.009,-0.315,-1142,36,46,48
-24.035,-88.007,-0.291,-1062,53,46,64
-24.011,-88.011,-0.257,-1067,41,49,52
-24.009,-88.004,-0.118,-1275,41,35,37
-24.01,-88.009,-0.246,-1093,35,45,46
-24.036,-88.008,-0.221,-965,35,44,51
-24.037,-88.012,-0.209,-867,42,49,57
-24.011,-88.011,-0.21,-1185,36,39,44
-24.013,-88.018,-0.188,-1121,42,43,47
-24.012,-88.014,-0.165,-1116,48,53,49
-24.036,-88.007,-0.186,-949,42,49,55
-24.036,-88.01,-0.175,-990,42,51,50
-24.039,-88.02,-0.151,-1077,33,42,49
-24.038,-88.015,-0.128,-1101,39,34,40
-24.012,-88.013,-0.153,-1118,44,49,53
-24.013,-88.018,-0.129,-1235,41,35,37
-24.037,-88.012,-0.116,-1198,44,35,38
-20.33,-95.503,-1.116,-1386,19,23,26
-20.31,-95.504,-1.056,-1332,19,18,23
-20.311,-95.51,-1.045,-1330,19,18,23
-20.311,-95.508,-1.02,-1330,18,17,22
-20.33,-95.502,-1.056,-1330,21,19,24
-20.33,-95.504,-1.044,-1311,20,18,23
-20.31,-95.504,-1.191,-1450,37,42,46
-20.33,-95.504,-1.201,-1444,39,42,49
-20.33,-95.502,-1.152,-1334,19,24,27
-20.33,-95.503,-1.14,-1314,19,24,27
-20.311,-95.51,-1.143,-1344,19,24,27
-20.33,-95.502,-1.02,-1301,19,18,23
-20.329,-95.5,-1.008,-1311,19,18,23
-20.349,-95.501,-1.003,-1448,24,20,21
-20.722,-95.371,-1.097,-1511,55,49,59
-20.741,-95.369,-1.059,-1535,76,88,78
-20.687,-95.392,-1.212,-1462,164,208,219
-20.704,-95.384,-1.193,-1391,94,129,161
-20.667,-95.397,-1.173,-1296,65,77,75
-20.686,-95.389,-1.163,-1334,69,94,98
-20.667,-95.398,-1.16,-1332,55,75,74
-20.687,-95.392,-1.138,-1327,30,50,57
-20.667,-95.397,-1.135,-1330,19,38,44
-20.555,-95.434,-1.192,-1311,165,202,218
-20.516,-95.441,-1.199,-1332,123,145,166
-20.592,-95.419,-1.201,-1401,150,172,170
-20.518,-95.446,-1.175,-1376,45,73,77
-20.592,-95.421,-1.177,-1427,66,95,99
-20.575,-95.431,-1.181,-1670,46,81,85
-20.574,-95.426,-1.157,-1380,45,74,78
-20.61,-95.412,-1.135,-1330,40,54,54
-20.591,-95.417,-1.153,-1329,32,57,61
-20.591,-95.414,-1.141,-1334,31,52,53
-20.554,-95.429,-1.18,-1327,58,96,99
-20.72,-95.366,-1.182,-1637,183,229,255
-20.722,-95.375,-1.158,-1347,61,95,105
-20.667,-95.396,-1.123,-1345,19,38,44
-20.704,-95.383,-1.095,-1411,37,35,48
-20.704,-95.385,-1.082,-1412,39,39,47
-20.667,-95.397,-1.098,-1350,28,28,40
-20.667,-95.396,-1.086,-1316,27,24,35
-20.686,-95.387,-1.076,-1388,40,40,48
-20.704,-95.385,-1.058,-1647,46,56,55
-20.722,-95.375,-1.059,-1393,60,70,69
-20.705,-95.387,-1.046,-1452,39,48,45
-20.704,-95.383,-1.021,-1494,42,42,42
-20.667,-95.394,-1.061,-1380,25,34,33
-20.687,-95.391,-1.039,-1424,31,40,37
-20.666,-95.394,-1.024,-1376,32,34,31
-20.554,-95.428,-1.119,-1460,38,45,51
-20.516,-95.44,-1.076,-1301,35,33,36
-20.517,-95.444,-1.063,-1345,37,39,38
-20.591,-95.417,-1.117,-1344,39,43,42
-20.61,-95.411,-1.123,-1317,40,54,54
-20.611,-95.413,-1.1,-1304,33,31,32
-20.574,-95.427,-1.096,-1337,42,41,39
-20.573,-95.421,-1.084,-1357,40,36,35
-20.535,-95.436,-1.117,-1335,28,31,36
-20.555,-95.431,-1.094,-1342,38,39,44
-20.535,-95.435,-1.105,-1342,41,40,45
-20.555,-95.43,-1.082,-1347,38,37,42
-20.535,-95.435,-1.081,-1324,41,39,44
-20.516,-95.44,-1.039,-1308,33,37,36
-20.537,-95.443,-1.02,-1314,20,26,24
-20.517,-95.441,-1.026,-1304,27,33,31
-20.517,-95.443,-1.002,-1316,25,27,26
-20.573,-95.424,-1.06,-1337,27,28,30
-20.574,-95.426,-1.037,-1319,23,28,32
-20.592,-95.419,-1.021,-1314,19,28,33
-20.573,-95.424,-1.025,-1290,19,28,33
-20.573,-95.424,-1.0,-1324,20,23,32
-20.554,-95.427,-1.058,-1353,26,30,31
